,loss,accuracy,val_loss,val_accuracy
0,0.5329040884971619,0.7269381284713745,0.34149500727653503,0.8585055470466614
1,0.30709806084632874,0.8721704483032227,0.2501722574234009,0.9009340405464172
2,0.2106928676366806,0.9198968410491943,0.22100085020065308,0.9205087423324585
3,0.14655300974845886,0.9477163553237915,0.19972094893455505,0.9273648858070374
4,0.10727096349000931,0.9639673233032227,0.1863086074590683,0.9340222477912903
5,0.08085130155086517,0.9727563858032227,0.17592328786849976,0.9393879175186157
6,0.07263404875993729,0.9763621687889099,0.1682777851819992,0.939785361289978
7,0.058518074452877045,0.9816957116127014,0.14244551956653595,0.9555842876434326
8,0.0497245229780674,0.9845502972602844,0.13776236772537231,0.9553855061531067
9,0.043558504432439804,0.9868038892745972,0.13378770649433136,0.9564785361289978
